TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
large_nipples | Prominent nipple size | anatomy:general
leather | Leather clothing or accessories in sexual context | anatomy:general
leg_hair | Hair growth on the legs | anatomy:general
leopard_spots | Specific feline-style rosette markings | anatomy:general
lingerie | Provocative undergarments | anatomy:general
lithe | Slim, graceful, flexible body | anatomy:general
lorum_piercing | Piercing at the base of the penis where shaft meets scrotum | anatomy:general
magnetic_implant | Magnetic device implanted under skin | anatomy:general
masc_body | Traditionally masculine body proportions | anatomy:general
medusa_piercing | Piercing centered above the upper lip | anatomy:general
monroe_piercing | Off-center piercing above the upper lip | anatomy:general
muscle_gut | Prominent belly on a muscular frame | anatomy:general
muscular | Well-developed musculature | anatomy:general
muscular_male | Male character with prominent muscle definition | anatomy:general
musk | Strong natural body scent with sexual undertone | anatomy:general
muzzle | Animal snout/mouth structure | anatomy:general
nape_piercing | Piercing at the back of the neck | anatomy:general
narrow_waist | Slim waistline | anatomy:general
navel_piercing | Belly button piercing | anatomy:general
nipple_chain_piercing | Chain connecting both nipple piercings | anatomy:general
nipple_piercing | Piercing through the nipple | anatomy:general
nipple_shield | Decorative shield around a pierced nipple | anatomy:general
otter_body | Slim and hairy male body type | anatomy:general
outer_labia_piercing | Piercing through the outer labia | anatomy:general
paw_pads | Soft pads on the underside of paws | anatomy:general
pear_shaped | Narrower upper body, wider hips | anatomy:general
pearling | Inserting beads under the skin of the penis | anatomy:general
penile_implant | Beads or shapes implanted under penile skin | anatomy:general
perky_breasts | Firm, upward-pointing breasts | anatomy:general
petite | Small and delicately built | anatomy:general
pheromones | Chemical signals that trigger sexual attraction | anatomy:general
piercing | Body piercing (general) | anatomy:general
plump | Full-figured, pleasantly rounded body | anatomy:general
pointed_ears | Ears surgically or magically pointed (elf-style) | anatomy:general
precum | Pre-ejaculatory fluid | anatomy:general
prince_albert | Ring piercing through the urethra and out the underside of the glans | anatomy:general
princess_albertina | Female urethral piercing | anatomy:general
prosthetic | Artificial replacement for a body part | anatomy:general
pubic_hair | Hair in the genital region | anatomy:general
pubic_piercing | Piercing above the penis on the pubic mound | anatomy:general
reverse_prince_albert | Piercing through urethra and out the top of the glans | anatomy:general
ring_nipple_piercing | Ring/hoop through the nipple | anatomy:general
ripped | Extremely defined musculature | anatomy:general
ritual_markings | Cultural or magical markings on the body | anatomy:general
rook_piercing | Piercing through inner ear ridge | anatomy:general
rope | Rope used for bondage or restraint | anatomy:general
rose_petals | Decorative rose petals scattered on or around the body, often used in romantic or sensual scenes. | anatomy:general
rugged | Rough, weathered, tough appearance | anatomy:general
saggy_breasts | Breasts that hang lower | anatomy:general
scales | Scaled texture across the body | anatomy:general
scar | Visible scar tissue on the body | anatomy:general
scarification | Intentional scarring as body art | anatomy:general
scarred_body | Body marked by multiple battle or life scars | anatomy:general
scarring | Multiple or prominent scars | anatomy:general
scent | Body odor or smell as sexually significant element | anatomy:general
shaved | Completely removed body hair | anatomy:general
silk | Silk fabric used in sexual or sensual context | anatomy:general
silver_fur | Character with silver-colored fur | anatomy:general
six_pack | Well-defined six abdominal muscles | anatomy:general
size_difference | Notable physical size disparity between partners | anatomy:general
smooth | Hairless, smooth skin or fur | anatomy:general
snake_bites | Two piercings on either side of the lower lip | anatomy:general
snug_piercing | Piercing through inner ear cartilage ridge | anatomy:general
soft_body | Plush, comfortable body without muscle definition | anatomy:general
spider_bites | Two piercings close together on one side of the lip | anatomy:general
spikes_(anatomy) | Bony or keratinous protrusions from body | anatomy:general
split_tongue | Tongue surgically split into two tips | anatomy:general
spots | Random or patterned darker patches | anatomy:general
spotted_fur | Character with spotted fur pattern | anatomy:general
sternum_piercing | Piercing between the breasts on the sternum | anatomy:general
strength | Physical power as a feature of sexual dynamic | anatomy:general
stretch_marks | Lines on skin from growth or weight change | anatomy:general
stretched_ears | Ear lobes stretched with gauges/plugs | anatomy:general
subdermal_implant | Object implanted under the skin for shape | anatomy:general
surface_piercing | Piercing along the surface of flat skin | anatomy:general
swimmer_build | Broad shoulders, narrow waist, lean | anatomy:general
tail | Animal tail as physical feature | anatomy:general
tall | Notably tall physical stature | anatomy:general
tattoo | Body ink or decorative skin markings | anatomy:general
thicc | Pleasantly thick and curvy body | anatomy:general
thin | Slender, narrow body build | anatomy:general
tight_clothes | Form-fitting clothing that emphasizes body | anatomy:general
toned | Lean and defined musculature | anatomy:general
tongue_bifurcation | Splitting the tongue in two | anatomy:general
tongue_piercing | Piercing through the tongue | anatomy:general
trimmed_pubic_hair | Neatly maintained genital hair | anatomy:general
tuft | Small clumps of fur or feathers | anatomy:general
twink | Slim, young, smooth-bodied male | anatomy:general
unshaved | Natural, ungroomed body hair | anatomy:general
v_line | V-shaped muscle lines leading to groin | anatomy:general
vch_piercing | Vertical clitoral hood piercing | anatomy:general
velvet | Velvet fabric used in sensual context | anatomy:general
vertical_labret | Piercing entering below lip and exiting through lip surface | anatomy:general
vitiligo | Patches of depigmented fur or skin | anatomy:general
war_paint | Ritualistic or combat body/face painting | anatomy:general
warrior | Character whose physique comes from combat training | anatomy:general
