TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
realistic_wings | Anatomically correct or natural-looking wings
short_legs | Legs appear stubby or undersized
shoulder_blades | Scapulae visible under skin/fur
small_areola | Tiny or minimized areola
small_breasts | Petite or minimally raised breasts
spread_wings | Wings are fully extended outward
teats | Animal-like nipples, usually in rows
thick_arms | Broad or muscular arms
thick_calves | Heavy-set or defined calves
thick_thighs | Heavy, broad thighs
toe_claws | Claws specifically on toes
toenails | Human or animal-styled toenails
toes | Visible digits on the feet
torso | Central body section, excluding limbs/head
udders | Cow-like or livestock-styled multiple teats
unguligrade | Walks on hooves
uniped | Character has one leg
ventral_groove | Defined vertical groove along abs/torso
winged_arms | Arms merged with or replaced by wings
wings | General wing presence

================================================================================
BUTTOCKS & TAIL
================================================================================
anus | Anal opening
barbed_tail | Tail with a sharp barb at the end
big_butt | Large, round butt
big_tail | Oversized or fluffy tail
bobbed_tail | Naturally short or docked tail
bubble_butt | Firm, round, lifted buttocks
bushy_tail | Full, bushy tail (fox/squirrel type)
butt | Rear or gluteal region
butt_cleavage | Visible line between buttocks
club_tail | Tail ending in a heavy mass (dinosaur)
curled_tail | Tail curled into a spiral
feathered_tail | Tail made of feathers
fin_tail | Fish-like fin at the end of the tail
firm_butt | Toned, muscular buttocks
flaming_tail | Tail wreathed in magical fire
fluffy_tail | Thick, soft, voluminous tail
forked_tail | Tail that splits into two ends
glowing_tail | Tail that emits light
hairy_butt | Buttocks with visible hair
hand_on_tail | Touching, stroking, or holding a tail.
heart_shaped_butt | Heart-shaped buttock silhouette
huge_butt | Fantastically oversized posterior
huge_tail | Exaggerated, massive tail
hyper_butt | Unrealistic, exaggerated glutes
hyper_tail | Fantastical, unrealistically massive tail
jiggly_butt | Buttocks that jiggle with movement
lifted_by_tail | Grabbing and raising by the tail, often dominantly.
long_tail | Elongated, serpentine or draping tail
multi_tail | Character has more than one tail
narrow_tail | Thin, whip-like tail
prehensile_tail | Tail capable of grasping and gripping
ringed_tail | Tail with alternating color rings (raccoon/lemur)
round_butt | Nicely rounded buttocks
sensitive_tail | Tail that is an erogenous zone
short_tail | Small, stubby, or cropped tail
small_butt | Small or flat buttocks
smooth_butt | Hairless, smooth buttocks
spade_tail | Tail ending in a spade or pointed shape
striped_tail | Tail with stripe pattern
tail_base | Area where the tail connects to the body
tail_mouth | Mouth embedded into or replacing tail tip
tail_tuft | Fur or fluff at end of the tail
thick_tail | Wide, bulky, or fluffy tail
thin_tail | Slender or tapering tail
whip_tail | Long, thin, flexible tail

================================================================================
GENITALIA (GENERAL)
================================================================================
ambiguous_slit | Indistinct or undefined genital slit
animal_genitalia | Non-humanoid sexual anatomy
crotch_grab | Sexual or aggressive grope in crotch area.
darkened_genitals | Shaded or blacked out crotch
genitals | Presence of reproductive organs
hand_on_crotch | Hand cupping or pressing genitals through clothes.

================================================================================
GENITALIA (MALE)
================================================================================
ambiguous_knotting | It’s unclear who is doing the knotting.
anal_knotting | Knotting occurs during anal penetration.
anatomically_correct_penis | True-to-species genital shape
animal_penis | Non-human, animalistic penis
average_cock | Average-sized penis
balls | Testicles present
balls_tightening | Testicles drawing up before orgasm
barbed_penis | Covered in keratinous barbs
big_balls | Large testicles
big_knot | Large knot at base of penis (canine, etc.)
big_penis | Larger-than-average shaft
bound_cock | Penis tied or wrapped with rope/cord
bovine_penis | Bull/cow-type shaft
branded_cock | Brand mark on the penis
bruised_cock | Penis showing bruising from rough use
bumped_penis | Textured with bumps
caged_cock | Penis locked in a chastity device
canine_penis | Dog-style shaft with knot
cetacean_penis | Dolphin/whale-like organ
circumcised | Glans exposed, foreskin removed
clean_cock | Freshly washed penis
cock_and_ball_bondage | Both penis and testicles bound
cock_comparison | Comparing penis sizes between characters
cock_inspection | Examining or evaluating a penis
cock_measuring | Measuring penis length or girth
cock_presentation | Displaying penis for admiration or evaluation
cock_slap | Slapping someone with a penis
cock_twitch | Involuntary penile movement
cum_dripping_cock | Cock with cum dripping from the tip
curved_cock | Penis with a curve
diphallism | Two penises
dirty_cock | Unwashed or soiled penis
double_cock | Character with two penises
double_knotting | Two knots inserted at once (e.g. double penetration scenario).
dripping_cock | Penis leaking precum or cum
equine_penis | Horse-style penis with medial ring
feline_penis | Cat-style, often barbed
flaccid | Non-erect penis
flared_cock | Penis with a flared head (equine)
flared_penis | Wide head or glans
foreskin | Skin covering head of penis
foreskin_play | Sexual focus on the foreskin
foreskin_retraction | Pulling back the foreskin to expose the glans
fully_erect | Completely hard penis
fully_sheathed | Shaft fully enclosed in sheath
genital_slit | Genital opening with retractable organ
girthy_cock | Notably thick penis
glans | Head of the penis
glowing_penis | Radiant or luminous shaft
growing_erection | Penis becoming erect
hand_on_penis | Hand touches or grips penis.
hands_free_erection | Erection without direct stimulation
heavy_balls | Notably large or full-feeling testicles
hemipenes | Reptilian dual-penis anatomy
huge_balls | Extremely oversized testicles
huge_cock | Extremely large penis
huge_penis | Extremely oversized cock
humanoid_penis | Human-style penis
hybrid_penis | Mix of species traits
hyper_balls | Fantastically massive, beyond-normal testicles
hyper_penis | Fantastically huge shaft
hyper_sheath | Sheath larger than normal
knot_fucking | Continuous motion while knotted.
knot_lick | Licking knot base.
knot_pullout | The knot is pulled out, usually creating bulging/stretch visuals or cum burst.
leaking_cock | Penis constantly dripping fluid
long_cock | Notably lengthy penis
long_foreskin | Elongated foreskin
long_penis | Extended shaft
medial_ring | Ridge found on equine penises
micro_penis | Very small penis
monster_cock | Unrealistically massive penis
morning_wood | Erection upon waking
multi_balls | More than two balls
multi_cock | Character with more than two penises
multi_knot | More than one knot
multi_penis | More than one shaft
musk_cock | Penis with strong natural scent
mutual_knotting | Both participants knot each other (e.g. herm or double canine partners).
oral_knotting | Knotting occurs during oral penetration.
painfully_hard | Erection so intense it causes discomfort
partially_retracted_foreskin | Foreskin pulled halfway
penis | Standard male organ
penis_hug | Penis encircled or hugged by another's body part.
penis_nuzzling | Character nuzzles or presses face to a penis.
pierced_balls | Testicles/scrotum with piercings
pierced_cock | Penis with one or more piercings
post_orgasm_sensitivity | Extreme sensitivity of penis after cumming
prehensile_cock | Penis capable of grasping or directed movement
prehensile_penis | Flexible, gripping shaft
red_cock | Flushed, reddened penis from arousal or friction
reluctant_erection | Erection despite not wanting one
retractable_cock | Penis that withdraws into the body
retracted_foreskin | Fully pulled back foreskin
ridged_cock | Penis with raised ridges along the shaft
ridged_penis | Raised or ribbed lines across shaft
saggy_balls | Low-hanging or loose scrotum
semi_erect | Partially erect penis
sheath | Pouch or covering where penis retracts
sheath_fingering | Inserting or teasing at the penile sheath.
sheath_lick | Licking the sheath.
shrinkage | Penis retreating from cold or fear
slit_cock | Penis that retracts into a genital slit
small_balls | Reduced-size testicles
small_cock | Below-average penis size
small_penis | Minimally sized shaft
smegma | Natural buildup under the foreskin
soft_to_hard | Transition from flaccid to erect
spent_cock | Softening penis after orgasm
stretched_balls | Testicles pulled down by weight or stretcher
sweaty_cock | Penis covered in perspiration
swollen_cock | Penis engorged beyond normal erection
tapered_cock | Penis that narrows to a point (equine, reptile)
tapering_penis | Shaft narrows toward tip
tattooed_cock | Tattooed penis
textured_cock | Penis with unusual surface texture
